sub id,q group no,score,link,avg,,
58448047,avg,6.0,https://admin.streetbees.com/projects/26618/submissions/58448047,6.0,6.0,6
,1,6.0,,,,
,2,6.0,,,,
,3,6.0,,,,
,4,6.0,,,,
,5,6.0,,,,
,6,6.0,,,,
,7,6.0,,,,
,8,6.0,,,,
,9,6.0,,,,
58448372,avg,5.4,https://admin.streetbees.com/projects/26618/submissions/58448372,6.0,5.4,5
,1,6.0,,,,
,2,5.0,,,,
,3,5.0,,,,
,4,6.0,,,,
,5,6.0,,,,
,6,6.0,,,,
,7,5.0,,,,
,8,4.0,,,,
,9,6.0,,,,
58448376,avg,5.3,https://admin.streetbees.com/projects/26618/submissions/58448376,5.0,5.3,5
,1,6.0,,,,
,2,6.0,,,,
,3,6.0,,,,
,4,4.0,,,,
,5,5.0,,,,
,6,4.0,,,,
,7,6.0,,,,
,8,6.0,,,,
,9,5.0,,,,
58448383,avg,3.44,https://admin.streetbees.com/projects/26618/submissions/58448383,4.0,3.4,3
,1,6.0,,,,
,2,4.0,,,,
,3,5.0,,,,
,4,2.0,,,,
,5,2.0,,,,
,6,4.0,,,,
,7,3.0,,,,
,8,3.0,,,,
,9,2.0,,,,
58448486,avg,5.22,https://admin.streetbees.com/projects/26618/submissions/58448486,5.0,5.2,5
,1,6.0,,,,
,2,5.0,,,,
,3,6.0,,,,
,4,4.0,,,,
,5,4.0,,,,
,6,5.0,,,,
,7,5.0,,,,
,8,6.0,,,,
,9,6.0,,,,
58448490,avg,6.00,https://admin.streetbees.com/projects/26618/submissions/58448490,6.0,6.0,6
,1,6.0,,,,
,2,6.0,,,,
,3,6.0,,,,
,4,6.0,,,,
,5,6.0,,,,
,6,6.0,,,,
,7,6.0,,,,
,8,6.0,,,,
,9,6.0,,,,
58451007,avg,1.56,https://admin.streetbees.com/projects/26618/submissions/58451007,2.0,1.6,1
,1,6.0,,,,
,2,1.0,,,,
,3,1.0,,,,
,4,1.0,,,,
,5,1.0,,,,
,6,1.0,,,,
,7,1.0,,,,
,8,1.0,,,,
,9,1.0,,,,
58447884,avg,4.11,https://admin.streetbees.com/projects/26618/submissions/58447884,4.0,4.1,4
,1,6.0,,,,
,2,4.0,,,,
,3,4.0,,,,
,4,3.0,,,,
,5,5.0,,,,
,6,4.0,,,,
,7,4.0,,,,
,8,4.0,,,,
,9,3.0,,,,
58460215,avg,5.89,https://admin.streetbees.com/projects/26618/submissions/58460215,6.0,5.9,5
,1,6.0,,,,
,2,6.0,,,,
,3,6.0,,,,
,4,6.0,,,,
,5,6.0,,,,
,6,6.0,,,,
,7,6.0,,,,
,8,6.0,,,,
,9,5.0,,,,
58448273,avg,6.00,https://admin.streetbees.com/projects/26618/submissions/58448273,6.0,6.0,6
,1,6.0,,,,
,2,6.0,,,,
,3,6.0,,,,
,4,6.0,,,,
,5,6.0,,,,
,6,6.0,,,,
,7,6.0,,,,
,8,6.0,,,,
,9,6.0,,,,